,alpha,n,van_bau,efron_bau,strat_bau,ps_min_bau,pm_bau,pm_kk,pm_kk_pbs,van_linear,efron_lin,strat_lin,ps_min_lin,pm_lin,pm_lin_kk,pm_lin_kk_pbs,van_exact,efron_exact,strat_exact,ps_min_exact,pm_exact,pm_kk_exact
power,0.2,50,0.039,0.056,0.019,0.036,0.023,0.072,0.075,0.038,0.049,0.026,0.039,0.023,0.057,0.211,0.058,0.056,0.016,0.026,0.061,0.063
pct_trt_diff,0.2,50,0.055,0.013,0.015,0.006,0.017,0.017,0.017,0.056,0.013,0.015,0.006,0.017,0.017,0.017,0.055,0.012,0.015,0.007,0.017,0.017
res_end_prop_avg,0.2,50,,,,,0.104,0.106,0.104,,,,,0.107,0.105,0.105,,,,,0.105,0.103
ssqr_over_sum,0.2,50,,,,,,0.619,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,50,,,,,,0.124,,,,,,,,,,,,,,
match_corr,0.2,50,,,,,,0.446,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,50,,,,,,0.070,,,,,,,,,,,,,,
pct_only_matches,0.2,50,,,,,,0.402,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,100,0.838,0.837,0.396,0.367,0.498,0.491,0.509,0.808,0.812,0.382,0.386,0.502,0.491,0.499,0.792,0.798,0.824,0.793,0.480,0.482
avg_max_ks_stat,0.05,100,0.168,0.166,0.121,0.117,0.115,0.117,0.115,0.165,0.164,0.119,0.121,0.116,0.116,0.116,0.165,0.164,0.165,0.164,0.116,0.116
avg_beta_T,0.05,100,-0.014,-0.016,-0.024,-0.007,0.008,-0.025,,-0.010,0.009,0.015,0.029,0.001,0.016,-0.001,,,,,,
avg_abs_bias,0.05,100,0.502,0.518,0.439,0.430,0.405,0.299,,0.426,0.458,0.418,0.422,0.405,0.321,0.313,,,,,,
std_err_beta_T,0.05,100,0.626,0.652,0.551,0.538,0.509,0.378,,0.540,0.581,0.531,0.528,0.498,0.404,0.390,,,,,,
power,0.05,100,0.041,0.059,0.023,0.016,0.011,0.049,0.063,0.039,0.059,0.040,0.036,0.023,0.060,0.650,0.035,0.062,0.023,0.021,0.049,0.057
pct_trt_diff,0.05,100,0.040,0.007,0.008,0.003,0.017,0.017,0.017,0.040,0.006,0.008,0.003,0.017,0.017,0.017,0.037,0.007,0.008,0.003,0.018,0.017
res_end_prop_avg,0.05,100,,,,,0.194,0.193,0.193,,,,,0.193,0.192,0.192,,,,,0.194,0.192
ssqr_over_sum,0.05,100,,,,,,0.699,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,100,,,,,,0.009,,,,,,,,,,,,,,
match_corr,0.05,100,,,,,,0.529,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,100,,,,,,0.009,,,,,,,,,,,,,,
pct_only_matches,0.05,100,,,,,,0.000,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,100,0.838,0.837,0.396,0.367,0.455,0.458,0.473,0.808,0.812,0.382,0.386,0.464,0.454,0.468,0.792,0.798,0.824,0.793,0.435,0.446
avg_max_ks_stat,0.075,100,0.168,0.166,0.121,0.117,0.115,0.115,0.116,0.165,0.164,0.119,0.121,0.117,0.115,0.118,0.165,0.164,0.165,0.164,0.114,0.117
avg_beta_T,0.075,100,-0.014,-0.016,-0.024,-0.007,0.007,-0.010,,-0.010,0.009,0.015,0.029,0.025,0.012,0.021,,,,,,
avg_abs_bias,0.075,100,0.502,0.518,0.439,0.430,0.395,0.304,,0.426,0.458,0.418,0.422,0.389,0.321,0.327,,,,,,
std_err_beta_T,0.075,100,0.626,0.652,0.551,0.538,0.498,0.383,,0.540,0.581,0.531,0.528,0.489,0.397,0.407,,,,,,
power,0.075,100,0.041,0.059,0.023,0.016,0.012,0.060,0.056,0.039,0.059,0.040,0.036,0.025,0.053,0.701,0.035,0.062,0.023,0.021,0.059,0.058
pct_trt_diff,0.075,100,0.040,0.007,0.008,0.003,0.015,0.015,0.015,0.040,0.006,0.008,0.003,0.015,0.015,0.014,0.037,0.007,0.008,0.003,0.015,0.015
res_end_prop_avg,0.075,100,,,,,0.139,0.139,0.143,,,,,0.141,0.142,0.143,,,,,0.140,0.139
ssqr_over_sum,0.075,100,,,,,,0.706,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,100,,,,,,0.015,,,,,,,,,,,,,,
match_corr,0.075,100,,,,,,0.534,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,100,,,,,,0.005,,,,,,,,,,,,,,
pct_only_matches,0.075,100,,,,,,0.008,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,100,0.838,0.837,0.396,0.367,0.430,0.437,0.419,0.808,0.812,0.382,0.386,0.432,0.439,0.428,0.792,0.798,0.824,0.793,0.435,0.431
avg_max_ks_stat,0.1,100,0.168,0.166,0.121,0.117,0.117,0.116,0.116,0.165,0.164,0.119,0.121,0.117,0.117,0.116,0.165,0.164,0.165,0.164,0.116,0.117
avg_beta_T,0.1,100,-0.014,-0.016,-0.024,-0.007,-0.001,0.008,,-0.010,0.009,0.015,0.029,-0.009,0.016,0.001,,,,,,
avg_abs_bias,0.1,100,0.502,0.518,0.439,0.430,0.382,0.329,,0.426,0.458,0.418,0.422,0.350,0.322,0.314,,,,,,
std_err_beta_T,0.1,100,0.626,0.652,0.551,0.538,0.478,0.410,,0.540,0.581,0.531,0.528,0.449,0.406,0.397,,,,,,
power,0.1,100,0.041,0.059,0.023,0.016,0.008,0.066,0.054,0.039,0.059,0.040,0.036,0.022,0.076,0.675,0.035,0.062,0.023,0.021,0.043,0.047
pct_trt_diff,0.1,100,0.040,0.007,0.008,0.003,0.013,0.012,0.013,0.040,0.006,0.008,0.003,0.013,0.013,0.012,0.037,0.007,0.008,0.003,0.013,0.013
res_end_prop_avg,0.1,100,,,,,0.112,0.112,0.113,,,,,0.110,0.112,0.111,,,,,0.111,0.111
ssqr_over_sum,0.1,100,,,,,,0.702,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,100,,,,,,0.024,,,,,,,,,,,,,,
match_corr,0.1,100,,,,,,0.535,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,100,,,,,,0.006,,,,,,,,,,,,,,
pct_only_matches,0.1,100,,,,,,0.029,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,100,0.838,0.837,0.396,0.367,0.390,0.388,0.402,0.808,0.812,0.382,0.386,0.390,0.386,0.396,0.792,0.798,0.824,0.793,0.390,0.398
avg_max_ks_stat,0.2,100,0.168,0.166,0.121,0.117,0.123,0.124,0.123,0.165,0.164,0.119,0.121,0.122,0.122,0.122,0.165,0.164,0.165,0.164,0.122,0.122
avg_beta_T,0.2,100,-0.014,-0.016,-0.024,-0.007,-0.009,0.003,,-0.010,0.009,0.015,0.029,0.018,-0.023,0.035,,,,,,
avg_abs_bias,0.2,100,0.502,0.518,0.439,0.430,0.378,0.348,,0.426,0.458,0.418,0.422,0.356,0.352,0.338,,,,,,
std_err_beta_T,0.2,100,0.626,0.652,0.551,0.538,0.478,0.501,,0.540,0.581,0.531,0.528,0.447,0.524,0.428,,,,,,
power,0.2,100,0.041,0.059,0.023,0.016,0.012,0.067,0.061,0.039,0.059,0.040,0.036,0.017,0.056,0.317,0.035,0.062,0.023,0.021,0.052,0.037
pct_trt_diff,0.2,100,0.040,0.007,0.008,0.003,0.009,0.009,0.009,0.040,0.006,0.008,0.003,0.009,0.009,0.009,0.037,0.007,0.008,0.003,0.009,0.009
res_end_prop_avg,0.2,100,,,,,0.059,0.059,0.059,,,,,0.059,0.060,0.060,,,,,0.059,0.059
ssqr_over_sum,0.2,100,,,,,,0.666,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,100,,,,,,0.076,,,,,,,,,,,,,,
match_corr,0.2,100,,,,,,0.493,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,100,,,,,,0.007,,,,,,,,,,,,,,
pct_only_matches,0.2,100,,,,,,0.327,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.05,200,0.795,0.804,0.392,0.386,0.405,0.406,0.425,0.813,0.822,0.382,0.379,0.425,0.433,0.423,0.811,0.810,0.785,0.800,0.424,0.397
avg_max_ks_stat,0.05,200,0.119,0.116,0.088,0.087,0.078,0.077,0.078,0.119,0.118,0.087,0.086,0.078,0.077,0.077,0.119,0.119,0.118,0.118,0.078,0.076
avg_beta_T,0.05,200,-0.003,0.001,0.002,-0.002,0.001,0.004,,-0.003,-0.023,-0.004,-0.005,0.001,-0.008,-0.002,,,,,,
avg_abs_bias,0.05,200,0.349,0.352,0.292,0.306,0.273,0.224,,0.312,0.318,0.281,0.295,0.267,0.209,0.218,,,,,,
std_err_beta_T,0.05,200,0.439,0.441,0.371,0.381,0.339,0.277,,0.391,0.398,0.358,0.376,0.333,0.264,0.274,,,,,,
power,0.05,200,0.042,0.056,0.020,0.025,0.008,0.049,0.037,0.042,0.046,0.033,0.044,0.016,0.045,0.781,0.042,0.041,0.023,0.022,0.051,0.051
pct_trt_diff,0.05,200,0.028,0.003,0.004,0.002,0.010,0.009,0.010,0.028,0.003,0.004,0.001,0.009,0.009,0.009,0.028,0.003,0.004,0.001,0.009,0.009
res_end_prop_avg,0.05,200,,,,,0.115,0.114,0.115,,,,,0.115,0.115,0.113,,,,,0.114,0.116
ssqr_over_sum,0.05,200,,,,,,0.740,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.05,200,,,,,,0.001,,,,,,,,,,,,,,
match_corr,0.05,200,,,,,,0.569,,,,,,,,,,,,,,
corr_eq_zero_pval,0.05,200,,,,,,0.000,,,,,,,,,,,,,,
pct_only_matches,0.05,200,,,,,,0.000,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.075,200,0.795,0.804,0.392,0.386,0.390,0.397,0.376,0.813,0.822,0.382,0.379,0.388,0.387,0.382,0.811,0.810,0.785,0.800,0.395,0.371
avg_max_ks_stat,0.075,200,0.119,0.116,0.088,0.087,0.079,0.079,0.078,0.119,0.118,0.087,0.086,0.078,0.079,0.078,0.119,0.119,0.118,0.118,0.079,0.078
avg_beta_T,0.075,200,-0.003,0.001,0.002,-0.002,0.008,0.008,,-0.003,-0.023,-0.004,-0.005,-0.001,-0.002,-0.002,,,,,,
avg_abs_bias,0.075,200,0.349,0.352,0.292,0.306,0.274,0.213,,0.312,0.318,0.281,0.295,0.242,0.205,0.218,,,,,,
std_err_beta_T,0.075,200,0.439,0.441,0.371,0.381,0.343,0.267,,0.391,0.398,0.358,0.376,0.303,0.257,0.273,,,,,,
power,0.075,200,0.042,0.056,0.020,0.025,0.011,0.048,0.063,0.042,0.046,0.033,0.044,0.011,0.045,0.812,0.042,0.041,0.023,0.022,0.050,0.051
pct_trt_diff,0.075,200,0.028,0.003,0.004,0.002,0.008,0.008,0.008,0.028,0.003,0.004,0.001,0.008,0.008,0.008,0.028,0.003,0.004,0.001,0.008,0.008
res_end_prop_avg,0.075,200,,,,,0.083,0.083,0.082,,,,,0.081,0.083,0.082,,,,,0.082,0.082
ssqr_over_sum,0.075,200,,,,,,0.740,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.075,200,,,,,,0.003,,,,,,,,,,,,,,
match_corr,0.075,200,,,,,,0.574,,,,,,,,,,,,,,
corr_eq_zero_pval,0.075,200,,,,,,0.000,,,,,,,,,,,,,,
pct_only_matches,0.075,200,,,,,,0.001,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.1,200,0.795,0.804,0.392,0.386,0.348,0.365,0.361,0.813,0.822,0.382,0.379,0.353,0.362,0.362,0.811,0.810,0.785,0.800,0.358,0.346
avg_max_ks_stat,0.1,200,0.119,0.116,0.088,0.087,0.079,0.081,0.080,0.119,0.118,0.087,0.086,0.079,0.080,0.080,0.119,0.119,0.118,0.118,0.081,0.080
avg_beta_T,0.1,200,-0.003,0.001,0.002,-0.002,0.002,-0.001,,-0.003,-0.023,-0.004,-0.005,0.029,-0.004,-0.008,,,,,,
avg_abs_bias,0.1,200,0.349,0.352,0.292,0.306,0.267,0.220,,0.312,0.318,0.281,0.295,0.251,0.225,0.220,,,,,,
std_err_beta_T,0.1,200,0.439,0.441,0.371,0.381,0.335,0.274,,0.391,0.398,0.358,0.376,0.314,0.283,0.273,,,,,,
power,0.1,200,0.042,0.056,0.020,0.025,0.009,0.050,0.050,0.042,0.046,0.033,0.044,0.009,0.062,0.765,0.042,0.041,0.023,0.022,0.051,0.051
pct_trt_diff,0.1,200,0.028,0.003,0.004,0.002,0.007,0.007,0.007,0.028,0.003,0.004,0.001,0.007,0.007,0.007,0.028,0.003,0.004,0.001,0.007,0.007
res_end_prop_avg,0.1,200,,,,,0.064,0.064,0.064,,,,,0.063,0.064,0.064,,,,,0.063,0.065
ssqr_over_sum,0.1,200,,,,,,0.738,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.1,200,,,,,,0.009,,,,,,,,,,,,,,
match_corr,0.1,200,,,,,,0.563,,,,,,,,,,,,,,
corr_eq_zero_pval,0.1,200,,,,,,0.000,,,,,,,,,,,,,,
pct_only_matches,0.1,200,,,,,,0.010,,,,,,,,,,,,,,
avg_max_std_diff_bal,0.2,200,0.795,0.804,0.392,0.386,0.336,0.342,0.340,0.813,0.822,0.382,0.379,0.357,0.349,0.351,0.811,0.810,0.785,0.800,0.331,0.334
avg_max_ks_stat,0.2,200,0.119,0.116,0.088,0.087,0.085,0.085,0.086,0.119,0.118,0.087,0.086,0.087,0.085,0.087,0.119,0.119,0.118,0.118,0.085,0.085
avg_beta_T,0.2,200,-0.003,0.001,0.002,-0.002,-0.004,0.008,,-0.003,-0.023,-0.004,-0.005,-0.004,-0.007,-0.004,,,,,,
avg_abs_bias,0.2,200,0.349,0.352,0.292,0.306,0.259,0.229,,0.312,0.318,0.281,0.295,0.250,0.241,0.238,,,,,,
std_err_beta_T,0.2,200,0.439,0.441,0.371,0.381,0.326,0.283,,0.391,0.398,0.358,0.376,0.318,0.308,0.301,,,,,,
power,0.2,200,0.042,0.056,0.020,0.025,0.011,0.050,0.056,0.042,0.046,0.033,0.044,0.014,0.063,0.396,0.042,0.041,0.023,0.022,0.048,0.041
pct_trt_diff,0.2,200,0.028,0.003,0.004,0.002,0.005,0.005,0.005,0.028,0.003,0.004,0.001,0.005,0.005,0.005,0.028,0.003,0.004,0.001,0.005,0.005
res_end_prop_avg,0.2,200,,,,,0.033,0.033,0.033,,,,,0.033,0.032,0.033,,,,,0.033,0.032
ssqr_over_sum,0.2,200,,,,,,0.698,,,,,,,,,,,,,,
ssqr_eq_ssqd_pval,0.2,200,,,,,,0.056,,,,,,,,,,,,,,
match_corr,0.2,200,,,,,,0.520,,,,,,,,,,,,,,
corr_eq_zero_pval,0.2,200,,,,,,0.000,,,,,,,,,,,,,,
pct_only_matches,0.2,200,,,,,,0.269,,,,,,,,,,,,,,
